,r_index,book_id,authors,original_title,image_url,average_rating,ratings_count,genre,desc
25,26,968,Dan Brown,The Da Vinci Code,https://images.gr-assets.com/books/1303252999l/968.jpg,3.79,1447148,"fiction, thriller","Harvard symbologist Robert Langdon and French cryptologist Sophie Neveu
work to solve the murder of an elderly curator of the Louvre, a case which
leads to clues hidden in the works of Da Vinci and a centuries-old secret
society."
26,27,1,"J.K. Rowling, Mary GrandPré",Harry Potter and the Half-Blood Prince,https://images.gr-assets.com/books/1361039191l/1.jpg,4.54,1678823,"fantasy, fiction","As Harry enters his sixth year at Hogwarts, a storm is brewing in the
battle between good and evil, a battle that promises to have incredible
consequences for the magic world."
27,28,7624,William Golding,Lord of the Flies ,https://images.gr-assets.com/books/1327869409l/7624.jpg,3.64,1605019,"classics, fiction","The classic study of human nature which depicts the degeneration of a group
of schoolboys marooned on a desert island."
28,29,18135,"William Shakespeare, Robert           Jackson",An Excellent conceited Tragedie of Romeo and Juliet,https://images.gr-assets.com/books/1327872146l/18135.jpg,3.73,1628519,"classics, fiction","An Excellent conceited Tragedie of Romeo and JulietWilliam Shakespeare, Robert           Jackson"
29,30,8442457,Gillian Flynn,Gone Girl,https://images.gr-assets.com/books/1339602131l/8442457.jpg,4.03,512475,"mystery, crime","When a woman goes missing on her fifth wedding anniversary, her diary
reveals hidden turmoil in her marriage, while her husband, desperate to
clear himself of suspicion, realizes that something more disturbing than
murder may have occurred."
30,31,4667024,Kathryn Stockett,The Help,https://images.gr-assets.com/books/1346100365l/4667024.jpg,4.45,1531753,"fiction, contemporary","Limited and persecuted by racial divides in 1962 Jackson, Mississippi,
three women, including an African-American maid, her sassy and chronically
unemployed friend and a recently graduated white woman, team up for a
clandestine project against a backdrop of the budding civil rights era.
Reprint. A #1 best-selling novel. 2 million first printing."
31,32,890,John Steinbeck,Of Mice and Men ,https://images.gr-assets.com/books/1437235233l/890.jpg,3.84,1467496,"classics, fiction","The tragic story of the friendship between two migrant workers, George and
mentally retarded Lenny, and their dream of owning a farm"
32,33,930,Arthur Golden,Memoirs of a Geisha,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388367666l/930.jpg,4.08,1300209,"fiction, romance","National best seller, Japan's most celebrated geisha, confessions novel."
33,34,10818853,E.L. James,Fifty Shades of Grey,https://images.gr-assets.com/books/1385207843l/10818853.jpg,3.67,1338493,"romance, fiction","When Anastasia Steele, a young literature student, interviews wealthy young
entrepreneur Christian Grey for her campus magazine, their initial meeting
introduces Anastasia to an exciting new world that will change them both
forever."
34,35,865,"Paulo Coelho, Alan R. Clarke",O Alquimista,https://images.gr-assets.com/books/1483412266l/865.jpg,3.82,1299566,"fiction, classics","""My heart is afraid that it will have to suffer,"" the boy told the
alchemist one night as they looked up at the moonless sky."" Tell your heart
that the fear of suffering is worse than the suffering itself. And that no
heart has ever suffered when it goes in search of its dreams."" Every few
decades a book is published that changes the lives of its readers forever.
The Alchemist is such a book. With over a million and a half copies sold
around the world, The Alchemist has already established itself as a modern
classic, universally admired. Paulo Coelho's charming fable, now available
in English for the first time, will enchant and inspire an even wider
audience of readers for generations to come. The Alchemist is the magical
story of Santiago, an Andalusian shepherd boy who yearns to travel in
search of a worldly treasure as extravagant as any ever found. From his
home in Spain he journeys to the markets of Tangiers and across the
Egyptian desert to a fateful encounter with the alchemist. The story of the
treasures Santiago finds along the way teaches us, as only a few stories
have done, about the essential wisdom of listening to our hearts, learning
to read the omens strewn along life's path, and, above all, following our
dreams."
35,36,3636,Lois Lowry,The Giver,https://images.gr-assets.com/books/1342493368l/3636.jpg,4.12,1296825,"fiction, classics","Given his lifetime assignment at the Ceremony of Twelve, Jonas becomes the
receiver of memories shared by only one other in his community and
discovers the terrible truth about the society in which he lives."
36,37,100915,C.S. Lewis,"The Lion, the Witch and the Wardrobe",https://images.gr-assets.com/books/1353029077l/100915.jpg,4.19,1531800,"fantasy, classics",They open a door and enter a world.
37,38,14050,Audrey Niffenegger,The Time Traveler's Wife,https://images.gr-assets.com/books/1437728815l/14050.jpg,3.95,746287,"fiction, romance","Passionately in love, Clare and Henry vow to hold onto each other and their
marriage as they struggle with the effects of Chrono-Displacement Disorder,
a condition that casts Henry involuntarily into the world of time travel."
38,39,13496,George R.R. Martin,A Game of Thrones,https://images.gr-assets.com/books/1436732693l/13496.jpg,4.45,1319204,"fiction, fantasy","The kingdom of the royal Stark family faces its ultimate challenge in the
onset of a generation-long winter, the poisonous plots of the rival
Lannisters, the emergence of the Neverborn demons and the arrival of
barbarian hordes. Reissue. TV tie-in."
39,40,19501,Elizabeth Gilbert,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",https://images.gr-assets.com/books/1503066414l/19501.jpg,3.51,1181647,"memoir, travel","Eat, pray, love: one woman's search for everything across Italy, India and IndonesiaElizabeth Gilbert"
40,41,28187,Rick Riordan,The Lightning Thief,https://images.gr-assets.com/books/1400602609l/28187.jpg,4.23,1366265,"fantasy, fiction",The Lightning ThiefRick Riordan
41,42,1934,Louisa May Alcott,Little Women,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475l/1934._SY475_.jpg,4.04,1257121,"classics, fiction",Little WomenLouisa May Alcott
42,43,10210,"Charlotte Brontë, Michael Mason",Jane Eyre,https://images.gr-assets.com/books/1327867269l/10210.jpg,4.1,1198557,"fiction, ebooks","Retells the classic story of an orphaned young woman who accepts employment
as a governess and soon finds herself in love with her employer."
43,44,15931,Nicholas Sparks,The Notebook,https://images.gr-assets.com/books/1385738917l/15931.jpg,4.06,1053403,"fiction, romance",The NotebookNicholas Sparks
44,45,4214,Yann Martel,Life of Pi,https://images.gr-assets.com/books/1320562005l/4214.jpg,3.88,1003228,"fantasy, classics","Possessing encyclopedia-like intelligence, unusual zookeeper's son Pi Patel
sets sail for America, but when the ship sinks, he escapes on a life boat
and is lost at sea with a dwindling number of animals until only he and a
hungry Bengal tiger remain."
45,46,43641,Sara Gruen,Water for Elephants,https://images.gr-assets.com/books/1494428973l/43641.jpg,4.07,1068146,"fiction, romance",Water for ElephantsSara Gruen
46,47,19063,Markus Zusak,The Book Thief,https://images.gr-assets.com/books/1390053681l/19063.jpg,4.36,1159741,"fiction, classics","Trying to make sense of the horrors of World War II, Death relates the
story of Liesel--a young German girl whose book-stealing and story-telling
talents help sustain her family and the Jewish man they are hiding, as well
as their neighbors."
47,48,4381,Ray Bradbury,Fahrenheit 451,https://images.gr-assets.com/books/1351643740l/4381.jpg,3.97,570498,"classics, fiction","A totalitarian regime has ordered all books to be destroyed, but one of the
book burners, Guy Montag, suddenly realizes their merit."
48,49,49041,Stephenie Meyer,"New Moon (Twilight, #2)",https://images.gr-assets.com/books/1361039440l/49041.jpg,3.52,1149630,"fantasy, romance","New Moon (Twilight, #2)Stephenie Meyer"
49,50,30119,Shel Silverstein,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,https://images.gr-assets.com/books/1168052448l/30119.jpg,4.29,1016888,"poetry, classics","If you are a dreamer, come in, If you are a dreamer, A wisher, a liar, A
hope-er, a pray-er, A magic bean buyer … Come in … for where the sidewalk
ends, Shel Silverstein’s world begins. You’ll meet a boy who turns into a
TV set, and a girl who eats a whale. The Unicorn and the Bloath live there,
and so does Sarah Cynthia Sylvia Stout who will not take the garbage out.
It is a place where you wash your shadow and plant diamond gardens, a place
where shoes fly, sisters are auctioned off, and crocodiles go to the
dentist. Shel Silverstein’s masterful collection of poems and drawings is
at once outrageously funny and profound."
50,51,256683,Cassandra Clare,City of Bones,https://images.gr-assets.com/books/1432730315l/256683.jpg,4.12,1154031,"paranormal, romance","Suddenly able to see demons and the Shadowhunters who are dedicated to
returning them to their own dimension, fifteen-year-old Clary Fray is drawn
into this bizarre world when her mother disappears and Clary herself is
almost killed by a monster."
51,52,428263,Stephenie Meyer,Eclipse,https://images.gr-assets.com/books/1361038355l/428263.jpg,3.69,1134511,"fantasy, romance","Readers captivated by Twilight and New Moon will eagerly devour the
paperback edition Eclipse, the third book in Stephenie Meyer's riveting
vampire love saga. As Seattle is ravaged by a string of mysterious killings
and a malicious vampire continues her quest for revenge, Bella once again
finds herself surrounded by danger. In the midst of it all, she is forced
to choose between her love for Edward and her friendship with Jacob ---
knowing that her decision has the potential to ignite the ageless struggle
between vampire and werewolf. With her graduation quickly approaching,
Bella has one more decision to make: life or death. But which is which?"
52,53,113436,Christopher Paolini,Eragon,https://images.gr-assets.com/books/1366212852l/113436.jpg,3.86,1104021,"fantasy, fiction","In Alagaèesia, a fifteen-year-old boy of unknown lineage called Eragon
finds a mysterious stone that weaves his life into an intricate tapestry of
destiny, magic, and power, peopled with dragons, elves, and monsters."
53,54,11,Douglas Adams,The Hitchhiker's Guide to the Galaxy,https://images.gr-assets.com/books/1327656754l/11.jpg,4.2,936782,"fiction, fantasy","Chronicles the journeys, notions, and acquaintances of reluctant galactic
traveler Arthur Dent, accompanied by never-before-published material from
the late author's archives as well as commentary by famous fans."
54,55,5129,Aldous Huxley,Brave New World,https://images.gr-assets.com/books/1487389574l/5129.jpg,3.97,1022601,"classics, fiction","Huxley's classic prophetic novel describes the socialized horrors of a
futuristic utopia devoid of individual freedom."
55,56,1162543,Stephenie Meyer,Breaking Dawn,https://images.gr-assets.com/books/1361039438l/1162543.jpg,3.7,1070245,"fantasy, contemporary","In an addition to the author's vampire love saga, following New Moon and
Eclipse, questions are answered about the fate of Bella and Edward.
Reissue."
56,57,37435,Sue Monk Kidd,The Secret Life of Bees,https://images.gr-assets.com/books/1473454532l/37435.jpg,4.01,916189,"fiction, classics","After her ""stand-in mother,"" a bold black woman named Rosaleen, insults the
three biggest racists in town, Lily Owens joins Rosaleen on a journey to
Tiburon, South Carolina, where they are taken in by three black, bee-
keeping sisters."
57,58,2956,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,https://images.gr-assets.com/books/1405973850l/2956.jpg,3.8,953758,"classics, fiction","A feisty young boy fakes his own death to escape his abusive father and
heads off down the Mississippi River with his newfound friend Jim, a
runaway slave."
58,59,24178,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,https://images.gr-assets.com/books/1439632243l/24178.jpg,4.15,1064521,"classics, fiction","Beloved by generations, Charlotte's Web and Stuart Little are two of the
most cherished stories of all time. Now, for the first time ever, these
treasured classics are available in lavish new collectors' editions. In
addition to a larger trim size, the original black-and-white art by Garth
Williams has been lovingly colorized by renowned illustrator Rosemary
Wells, adding another dimension to these two perfect books for young and
old alike."
59,60,1618,Mark Haddon,The Curious Incident of the Dog in the Night-Time,https://images.gr-assets.com/books/1479863624l/1618.jpg,3.85,867553,"fiction, classics",The Curious Incident of the Dog in the Night-TimeMark Haddon
60,61,22557272,Paula Hawkins,The Girl on the Train,https://images.gr-assets.com/books/1490903702l/22557272.jpg,3.88,1008778,"mystery, fiction",The Girl on the TrainPaula Hawkins
61,62,119322,Philip Pullman,Northern Lights,https://images.gr-assets.com/books/1451271747l/119322.jpg,3.94,953970,"fantasy, fiction","Accompanied by her daemon, Lyra Belacqua sets out to prevent her best
friend and other kidnapped children from becoming the subject of gruesome
experiments in the Far North."
62,63,6185,"Emily Brontë, Richard J. Dunn",Wuthering Heights,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587655304l/6185._SY475_.jpg,3.82,899195,"classics, fiction","Wuthering HeightsEmily Brontë, Richard J. Dunn"
63,64,10917,Jodi Picoult,My Sister's Keeper,https://images.gr-assets.com/books/1369504683l/10917.jpg,4.06,863879,"fiction, contemporary","Written with grace, wisdom, and sensitivity, this novel is about a teen who
was conceived as a bone marrow match for her sister Kate, and what happens
when she begins to question who she really is."
64,65,4981,Kurt Vonnegut Jr.,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",https://images.gr-assets.com/books/1440319389l/4981.jpg,4.06,846488,"classics, fiction","Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death Kurt Vonnegut Jr."
65,66,18405,Margaret Mitchell,Gone with the Wind,https://images.gr-assets.com/books/1328025229l/18405.jpg,4.28,873981,"classics, fiction","The turbulent romance of Scarlett O'Hara and Rhett Butler is shaped by the
ravages of the Civil War and Reconstruction."
66,67,128029,Khaled Hosseini,A Thousand Splendid Suns,https://images.gr-assets.com/books/1345958969l/128029.jpg,4.34,818742,"fiction, contemporary",A Thousand Splendid SunsKhaled Hosseini
67,68,22628,Stephen Chbosky,The Perks of Being a Wallflower,https://images.gr-assets.com/books/1167352178l/22628.jpg,4.21,888806,"fiction, contemporary","A series of letters to an unknown correspondent reveals the coming-of-age
trials of a high-schooler named Charlie"
68,69,11735983,Veronica Roth,Insurgent,https://images.gr-assets.com/books/1325667729l/11735983.jpg,4.07,836362,"fiction, fantasy","As war surges in the dystopian society around her, sixteen-year-old
Divergent Tris Prior must continue trying to save those she loves--and
herself--while grappling with haunting questions of grief and forgiveness,
identity and loyalty, politics, and love."
69,70,375802,Orson Scott Card,Ender's Game,https://images.gr-assets.com/books/1408303130l/375802.jpg,4.3,813439,"fiction, fantasy","From New York Times bestselling author Orson Scott Card, Ender's Game is
the classic Hugo and Nebula award-winning science fiction novel of a young
boy's recruitment into the midst of an interstellar war. In order to
develop a secure defense against a hostile alien race's next attack,
government agencies breed child geniuses and train them as soldiers. A
brilliant young boy, Andrew ""Ender"" Wiggin lives with his kind but distant
parents, his sadistic brother Peter, and the person he loves more than
anyone else, his sister Valentine. Peter and Valentine were candidates for
the soldier-training program but didn't make the cut—young Ender is the
Wiggin drafted to the orbiting Battle School for rigorous military
training. Ender's skills make him a leader in school and respected in the
Battle Room, where children play at mock battles in zero gravity. Yet
growing up in an artificial community of young soldiers Ender suffers
greatly from isolation, rivalry from his peers, pressure from the adult
teachers, and an unsettling fear of the alien invaders. His psychological
battles include loneliness, fear that he is becoming like the cruel brother
he remembers, and fanning the flames of devotion to his beloved sister. Is
Ender the general Earth needs? But Ender is not the only result of the
genetic experiments. The war with the Buggers has been raging for a hundred
years, and the quest for the perfect general has been underway for almost
as long. Ender's two older siblings are every bit as unusual as he is, but
in very different ways. Between the three of them lie the abilities to
remake a world. If, that is, the world survives. Orson Scott Card's Ender's
Game is the winner of the 1985 Nebula Award for Best Novel and the 1986
Hugo Award for Best Novel. THE ENDER UNIVERSE Ender Quintet series Ender’s
Game / Ender in Exile / Speaker for the Dead / Xenocide / Children of the
Mind Ender’s Shadow series Ender’s Shadow / Shadow of the Hegemon / Shadow
Puppets / Shadow of the Giant / Shadows in Flight Children of the Fleet The
First Formic War (with Aaron Johnston) Earth Unaware / Earth Afire / Earth
Awakens The Second Formic War (with Aaron Johnston) The Swarm /The Hive
Ender novellas A War of Gifts /First Meetings"
70,71,18490,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle","Frankenstein; or, The Modern Prometheus",https://images.gr-assets.com/books/1381512375l/18490.jpg,3.75,808589,"classics, fiction",Edited by Maurice Hindle.
